./normal/GSM1112836.count	./normal/GSM916094.count	./cancer/CEMT_19.count	./cancer/CEMT_22.count	./cancer/CEMT_47.count
AC005235.1	3	15	2958	0	0
AC005237.2	0	0	0	0	0
AC005237.4	1	8	1392	11999	4108
AC005253.2	0	43	42704	47404	89013
AC005253.4	0	0	213720	202184	349176
AC005255.3	8	120	42930	33200	88158
AC005255.5	0	0	0	0	0
AC005255.6	0	0	0	0	0
AC005256.1	0	0	0	0	0
AC005262.2	0	0	238231	111772	294255
AC005262.3	0	0	159004	57095	155040
AC005262.4	21	26	316	0	138
AC005264.2	0	25	1779	656	583
AC005276.1	0	0	0	0	0
AC005280.1	0	2	37730	4500	17835
AC005281.1	0	25	0	1669	112
AC005281.2	1	2	631	505	2267
AC005284.1	0	0	0	0	0
AC005288.1	5	3	660	1536	253
AC005300.5	12	15	2609	4094	1817
AC005301.8	0	0	0	0	0
AC005304.1	2	10	891	1022	1071
AC005306.3	0	190	334139	169162	555870
AC005307.1	0	4	150	0	0
AC005307.3	0	9	594	607	0
AC005324.6	0	2	546	386	368
AC005324.7	0	1	0	0	0
AC005326.2	1	20	1041	738	302
AC005329.7	0	33	395904	292633	668942
AC005330.2	12	509	44158	3364	18915
AC005336.4	2	75	9390	702	663
AC005336.5	21	63	4575	3225	9900
AC005339.2	0	0	15866	6430	21166
AC005351.1	8	23	150	150	300
AC005355.1	1	0	375	38	0
AC005355.2	3	3	0	176	105
AC005356.1	0	24	2557	6076	3770
AC005357.1	0	0	123	150	223
AC005358.1	0	0	1049	150	747
AC005358.3	0	0	0	0	0
AC005363.9	0	0	5366	7311	4616
AC005370.1	3	1	12	199	0
AC005375.1	0	0	0	0	0
AC005387.2	0	20	1169	1761	559
AC005387.3	0	36	1415	1894	2290
AC005391.2	0	0	364	319	31
AC005392.13	0	26	763	22	0
AC005394.1	0	0	0	0	0
AC005399.1	8	6	217	744	0
AC005477.1	0	4	1506	748	0
AC005481.5	0	10	3178	832	3467
AC005484.5	0	0	36712	22525	17289
AC005487.2	0	10	743	602	1555
AC005488.1	32	85	411	735	532
AC005488.11	1	0	8522	7726	4276
AC005493.1	0	0	0	0	0
AC005498.3	0	57	13503	13986	9179
AC005498.4	0	40	1376	1465	2284
AC005513.1	0	4	547	986	106
AC005517.3	0	39	1852	1049	2755
AC005518.2	0	9	225	300	1268
AC005519.4	11	325	51807	41805	70815
AC005522.6	0	3	0	0	0
AC005522.7	1	16	65	778	343
AC005523.2	0	0	1130985	441649	1463806
AC005523.3	0	12	3842	1436	3118
AC005532.5	29	41	2465	223	477
AC005534.6	5	29	1280	2156	3781
AC005534.8	0	7	1232	2460	994
AC005537.2	10	22	1032	1394	423
AC005538.5	0	0	0	0	0
AC005539.2	39	59	2027	522	150
AC005540.3	7	17	52695	9199	58129
AC005544.1	0	0	1080662	435472	3515036
AC005546.2	1	16	1107	1056	655
AC005549.1	0	0	0	0	0
AC005549.2	4	30	41	161	0
AC005549.3	0	0	136	14	107
AC005550.3	0	4	150	75	150
AC005550.4	4	28	424	300	0
AC005550.5	0	2	299	0	0
AC005559.2	0	0	149768	86300	200561
AC005559.3	0	2	45048	24604	63271
AC005562.1	0	27	819796	529969	1126222
AC005588.2	0	0	454	900	378
AC005592.1	21	26	1200	5256	673
AC005592.2	46	45	22346	63154	29595
AC005592.3	5	17	1438	8566	2306
AC005594.3	2	61	64526	37384	81149
AC005597.1	0	0	225	137	485
AC005606.1	0	0	13131	3162	9961
AC005606.14	0	0	158276	91196	194175
AC005606.15	0	0	100224	39885	158188
AC005609.1	15	23	18998	10128	21627
AC005609.2	1	2	0	450	0
AC005614.3	1	5	1634	410	2435
AC005614.5	0	0	14873	7676	18411
AC005616.1	0	0	0	0	0
AC005616.2	1	1	75	0	0
AC005618.1	1	0	431406	248663	508366
AC005618.6	89	164	72452	185367	396224
AC005621.1	0	0	0	0	0
AC005624.2	0	4	75	150	443
AC005625.1	0	0	777	2437	829
AC005626.3	0	0	0	0	0
AC005631.1	0	1	0	0	105
AC005682.5	7	24	887	959	1549
AC005682.6	14	13	328	76	501
AC005682.7	3	7	300	200	279
AC005682.8	12	21	304	1011	66
AC005686.1	0	0	0	0	0
AC005701.1	0	0	0	0	45
AC005702.1	17	18	5285	2947	13464
AC005702.2	10	27	4215	3236	6581
