symbol  TSC1	TSC2	MSC1	MSC2	NPC1	NPC2	ESC1	ESC2	MES1	MES2
AC003088.1	22	22	8	8	0	3	3	1	4	4
AC003090.1	214	237	19	17	23	18	6	3	5	5
AC003092.1	0	0	1764	1591	7	3	5	0	19	19
AC003092.2	2	2	14	9	0	2	1	0	0	0
AC003101.1	0	0	1	2	0	0	3	5	2	2
AC003102.1	0	0	0	0	0	0	0	0	0	0
AC003102.3	147	125	104	94	303	246	979	907	194	194
AC003104.1	9	20	22	12	125	139	41	72	72	72
AC003658.1	0	0	0	0	0	0	0	0	0	0
AC003664.1	0	0	0	0	0	1	0	2	0	0
AC003665.1	55	77	166	156	109	113	129	106	117	117
AC003666.1	0	0	0	0	0	0	0	0	0	0
AC003681.1	0	0	0	0	0	0	0	0	0	0
AC003682.16	25	23	15	12	86	65	19	14	12	12
AC003682.17	370	428	576	645	244	246	148	188	219	219
AC003956.1	130	128	28	33	66	45	67	38	45	45
AC003958.2	0	0	0	1	0	0	0	0	0	0
AC003958.6	0	0	0	0	0	0	0	0	0	0
AC003968.1	2	0	0	0	0	0	3	1	4	4
AC003973.1	0	0	0	0	0	0	0	0	0	0
AC003973.4	0	0	0	0	0	0	0	0	0	0
AC003973.5	0	0	0	0	0	0	0	0	0	0
AC003973.6	0	0	0	0	0	0	0	0	0	0
AC003984.1	2	1	8	4	0	0	0	0	2	2
AC003985.1	0	0	0	0	0	0	0	0	0	0
AC003986.5	0	0	0	0	0	0	2	4	5	5
AC003986.6	22	19	48	23	3	0	3	1	9	9
AC003986.7	8	7	23	24	0	0	3	2	5	5
AC003988.1	0	0	14	7	0	0	0	0	0	0
AC003989.3	0	2	0	0	0	1	2	0	0	0
AC003989.4	0	0	0	0	0	3	3	5	0	0
AC003991.3	2	9	0	8	4	1	5	3	4	4
AC004000.1	1	3	0	1	2	6	0	8	1	1
AC004004.2	0	0	0	0	0	0	0	0	0	0
AC004006.2	0	0	0	0	8	8	0	1	0	0
